中心点的像素是：[97, 162, 190]
坐标位置为：[406,731]  [97, 162, 190]0
坐标位置为：[407,731]  [103, 166, 194]10.3923
坐标位置为：[408,731]  [108, 166, 195]19.0526
坐标位置为：[409,731]  [105, 163, 192]13.8564
坐标位置为：[410,731]  [103, 163, 192]10.3923
坐标位置为：[411,731]  [106, 169, 197]15.5885
坐标位置为：[412,731]  [103, 170, 197]10.3923
坐标位置为：[413,731]  [95, 166, 193]3.4641
坐标位置为：[414,731]  [95, 169, 195]3.4641
坐标位置为：[415,731]  [93, 168, 194]6.9282
坐标位置为：[416,731]  [89, 169, 192]13.8564
坐标位置为：[417,731]  [91, 171, 194]10.3923
坐标位置为：[418,731]  [97, 176, 197]0
坐标位置为：[419,731]  [105, 180, 202]13.8564
坐标位置为：[420,731]  [113, 180, 203]27.7128
坐标位置为：[421,731]  [121, 178, 200]41.5692
坐标位置为：[422,731]  [125, 174, 196]48.4974
坐标位置为：[423,731]  [129, 173, 196]55.4256
坐标位置为：[424,731]  [128, 174, 198]53.6936
坐标位置为：[425,731]  [128, 176, 200]53.6936
坐标位置为：[426,731]  [125, 177, 200]48.4974
坐标位置为：[427,731]  [119, 173, 196]38.1051
坐标位置为：[428,731]  [111, 167, 192]24.2487
坐标位置为：[429,731]  [109, 165, 190]20.7846
坐标位置为：[430,731]  [109, 164, 191]20.7846
坐标位置为：[431,731]  [107, 162, 189]17.3205
坐标位置为：[432,731]  [111, 166, 193]24.2487
坐标位置为：[433,731]  [111, 166, 193]24.2487
坐标位置为：[434,731]  [107, 162, 189]17.3205
坐标位置为：[435,731]  [109, 166, 192]20.7846
坐标位置为：[436,731]  [113, 170, 196]27.7128
坐标位置为：[437,731]  [108, 165, 191]19.0526
坐标位置为：[438,731]  [107, 164, 190]17.3205
坐标位置为：[439,731]  [106, 166, 190]15.5885
坐标位置为：[440,731]  [102, 167, 188]8.66025
坐标位置为：[441,731]  [100, 165, 186]5.19615
坐标位置为：[442,731]  [105, 165, 187]13.8564
坐标位置为：[443,731]  [113, 167, 192]27.7128
坐标位置为：[444,731]  [122, 167, 194]43.3013
坐标位置为：[445,731]  [126, 165, 193]50.2295
坐标位置为：[446,731]  [129, 163, 186]55.4256
坐标位置为：[447,731]  [136, 166, 183]67.55
坐标位置为：[448,731]  [138, 163, 173]71.0141
坐标位置为：[449,731]  [163, 179, 185]114.315
坐标位置为：[450,731]  [237, 246, 249]242.487
坐标位置为：[451,731]  [248, 252, 253]261.54
坐标位置为：[452,731]  [255, 254, 255]273.664
坐标位置为：[453,731]  [214, 218, 223]202.65
坐标位置为：[454,731]  [168, 182, 194]122.976
坐标位置为：[455,731]  [163, 181, 198]114.315
坐标位置为：[456,731]  [161, 180, 201]110.851
坐标位置为：[457,731]  [154, 175, 196]98.7269
坐标位置为：[458,731]  [151, 175, 195]93.5307
坐标位置为：[459,731]  [149, 178, 199]90.0666
坐标位置为：[460,731]  [143, 176, 202]79.6743
坐标位置为：[461,731]  [136, 173, 201]67.55
坐标位置为：[462,731]  [130, 169, 197]57.1577
坐标位置为：[463,731]  [134, 167, 193]64.0859
坐标位置为：[464,731]  [139, 160, 182]72.7461
坐标位置为：[465,731]  [169, 179, 197]124.708
坐标位置为：[466,731]  [244, 248, 255]254.611
坐标位置为：[467,731]  [247, 249, 255]259.808
坐标位置为：[468,731]  [224, 228, 239]219.97
坐标位置为：[469,731]  [156, 169, 185]102.191
坐标位置为：[470,731]  [144, 175, 196]81.4064
坐标位置为：[471,731]  [129, 173, 196]55.4256
坐标位置为：[472,731]  [121, 170, 192]41.5692
坐标位置为：[473,731]  [119, 174, 195]38.1051
坐标位置为：[474,731]  [121, 178, 199]41.5692
坐标位置为：[475,731]  [119, 178, 198]38.1051
坐标位置为：[476,731]  [121, 176, 197]41.5692
坐标位置为：[477,731]  [120, 173, 194]39.8372
坐标位置为：[478,731]  [125, 175, 197]48.4974
坐标位置为：[479,731]  [128, 177, 199]53.6936
坐标位置为：[480,731]  [126, 175, 197]50.2295
坐标位置为：[481,731]  [125, 174, 196]48.4974
坐标位置为：[482,731]  [126, 175, 197]50.2295
坐标位置为：[483,731]  [128, 175, 197]53.6936
坐标位置为：[484,731]  [132, 176, 199]60.6218
坐标位置为：[485,731]  [137, 181, 204]69.282
坐标位置为：[486,731]  [136, 181, 202]67.55
坐标位置为：[487,731]  [138, 181, 202]71.0141
坐标位置为：[488,731]  [143, 183, 202]79.6743
坐标位置为：[489,731]  [152, 190, 208]95.2628
坐标位置为：[490,731]  [157, 196, 211]103.923
坐标位置为：[491,731]  [156, 195, 210]102.191
坐标位置为：[492,731]  [158, 193, 207]105.655
坐标位置为：[493,731]  [165, 194, 209]117.779
坐标位置为：[494,731]  [177, 198, 213]138.564
坐标位置为：[495,731]  [185, 201, 214]152.42
坐标位置为：[496,731]  [184, 196, 208]150.688
坐标位置为：[497,731]  [183, 195, 205]148.956
坐标位置为：[498,731]  [180, 193, 201]143.76
坐标位置为：[499,731]  [186, 198, 202]154.153
坐标位置为：[500,731]  [194, 203, 206]168.009
坐标位置为：[501,731]  [209, 214, 215]193.99
坐标位置为：[502,731]  [247, 249, 249]259.808
坐标位置为：[503,731]  [255, 255, 255]273.664
坐标位置为：[504,731]  [254, 251, 253]271.932
坐标位置为：[505,731]  [252, 249, 251]268.468
坐标位置为：[506,731]  [236, 232, 237]240.755
坐标位置为：[507,731]  [210, 206, 211]195.722
坐标位置为：[508,731]  [202, 200, 206]181.865
坐标位置为：[509,731]  [201, 200, 209]180.133
坐标位置为：[510,731]  [197, 199, 209]173.205
坐标位置为：[511,731]  [191, 198, 207]162.813
坐标位置为：[512,731]  [189, 199, 209]159.349
坐标位置为：[513,731]  [182, 196, 208]147.224
坐标位置为：[514,731]  [175, 193, 204]135.1
